Animal1,Animal2,weights
albatross,albatross,1
albatross,alligator,0.263090479
albatross,ant,0.174394203
albatross,antelope,0.240917082
albatross,baboon,0.177426399
albatross,badger,0.17993531
albatross,barracuda,0.120024441
albatross,bat,0.090568662
albatross,bear,0.173781715
albatross,beaver,0.147113661
albatross,bee,0.107630976
albatross,beetle,0.130425462
albatross,bison,0.173726255
albatross,blackbird,0.189328622
albatross,boa,0.234882038
albatross,bonobo,0.159238028
albatross,buffalo,0.089523266
albatross,bumblebee,0.236686887
albatross,butterfly,0.174393015
albatross,caiman,0.251027205
albatross,camel,0.090624752
albatross,canary,0.187848692
albatross,carp,0.071033204
albatross,cat,0.269754435
albatross,caterpillar,0.066856167
albatross,catfish,0.121769241
albatross,centipede,0.148749527
albatross,chameleon,0.107645403
albatross,chicken,0.030278954
albatross,chimpanzee,0.130440549
albatross,chipmunk,0.15266917
albatross,cockroach,0.235843477
albatross,cod,0.12451839
albatross,cow,0.092583832
albatross,coyote,0.108446891
albatross,crab,0.144435552
albatross,crocodile,0.197229025
albatross,crow,0.166206337
albatross,cuttlefish,0.09762758
albatross,deer,0.193218078
albatross,dingo,0.242098018
albatross,dog,0.165673077
albatross,dolphin,0.311192535
albatross,donkey,0.212417568
albatross,dove,0.23781696
albatross,dragonfly,0.279143413
albatross,duck,0.246634447
albatross,eagle,0.287859577
albatross,eel,0.126317278
albatross,elephant,0.246647438
albatross,elk,0.156714827
albatross,emu,0.175400584
albatross,falcon,0.239950532
albatross,finch,0.117914747
albatross,flamingo,0.185351424
albatross,flea,0.099835677
albatross,fly,0.182565243
albatross,fox,0.005659305
albatross,frog,0.213441324
albatross,gazelle,0.282816754
albatross,gecko,0.302015985
albatross,gibbon,0.126892774
albatross,giraffe,0.313132713
albatross,goat,0.177612798
albatross,goldfish,0.222084108
albatross,goose,0.287224914
albatross,gorilla,0.096110702
albatross,grasshopper,0.186754139
albatross,hamster,0.225541749
albatross,hare,0.109067384
albatross,hawk,0.28989882
albatross,hedgehog,0.129125912
albatross,horse,0.131858186
albatross,hyena,0.202678153
albatross,jaguar,0.168427679
albatross,jellyfish,0.228901838
albatross,kangaroo,0.217589137
albatross,kiwi,0.129169551
albatross,koala,0.278820759
albatross,ladybug,0.2084313
albatross,lemur,0.289954485
albatross,lemming,0.238764748
albatross,leopard,0.288248567
albatross,lion,0.148706999
albatross,lizard,0.18928783
albatross,lobster,0.137451751
albatross,mammoth,0.109624974
albatross,mink,0.217491717
albatross,mole,0.089114975
albatross,mongoose,0.223259597
albatross,monkey,0.274870872
albatross,moose,0.147518258
albatross,moth,0.260562885
albatross,mouse,0.211114406
albatross,mule,0.083236106
albatross,nightingale,0.24881554
albatross,nymph,0.248827851
albatross,octopus,0.136640607
albatross,okapi,0.063577478
albatross,ostrich,0.237248437
albatross,otter,0.279754066
albatross,owl,0.310449016
albatross,oyster,0.076719785
albatross,panda,0.176074429
albatross,panther,0.115170995
albatross,parakeet,0.285699194
albatross,parrot,0.305544285
albatross,peacock,0.205717288
albatross,pelican,0.32659918
albatross,penguin,0.297370783
albatross,pig,0.158313304
albatross,pigeon,0.252426247
albatross,piranha,0.030420149
albatross,platypus,0.174554677
albatross,pony,0.169525032
albatross,poodle,0.31078795
albatross,prawn,0.175686745
albatross,puma,0.108756773
albatross,python,0.170831981
albatross,rabbit,0.2537084
albatross,racoon,0.070467962
albatross,rat,0.221777245
albatross,rattlesnake,0.160163895
albatross,raven,0.127658678
albatross,reindeer,0.251130709
albatross,rhinoceros,0.288323046
albatross,robin,0
albatross,rooster,0.101213452
albatross,salamander,0.170852545
albatross,salmon,0.048287342
albatross,scallop,0.140055724
albatross,scorpion,0.243050493
albatross,seal,0.098279332
albatross,shark,0.248707719
albatross,sheep,0.22945921
albatross,shrimp,0.090765415
albatross,skunk,0.172696412
albatross,snail,0.146845317
albatross,snake,0.17429988
albatross,sparrow,0.313488604
albatross,spider,0.21232298
albatross,squid,0.200713785
albatross,squirrel,0.309073212
albatross,starfish,0.173205527
albatross,stingray,0.240030226
albatross,stork,0.280427141
albatross,swallow,0.17909918
albatross,swan,0.248792223
albatross,tapir,0.22593013
albatross,termite,0.095911218
albatross,tarantula,0.262343408
albatross,tiger,0.251270006
albatross,toad,0.183173737
albatross,tortoise,0.174983164
albatross,toucan,0.223938346
albatross,trout,0.161016185
albatross,turkey,0.011139518
albatross,turtle,0.320130773
albatross,walrus,0.308152793
albatross,wasp,0.392515235
albatross,weasel,0.238571797
albatross,whale,0.204640916
albatross,wolf,0.118985898
albatross,wombat,0.257237112
albatross,woodpecker,0.354456515
albatross,yak,0.078039306
albatross,zebra,0.267201096
alligator,albatross,0.263090479
alligator,alligator,1
alligator,ant,0.213074796
alligator,antelope,0.310425661
alligator,baboon,0.109551809
alligator,badger,0.218048767
alligator,barracuda,0.131917609
alligator,bat,0.123832689
alligator,bear,0.268618504
alligator,beaver,0.229231207
alligator,bee,0.221206495
alligator,beetle,0.20562408
alligator,bison,0.266128486
alligator,blackbird,0.136888535
alligator,boa,0.259759295
alligator,bonobo,0.110966985
alligator,buffalo,0.200413739
alligator,bumblebee,0.154121418
alligator,butterfly,0.216804532
alligator,caiman,0.391506762
alligator,camel,0.154682121
alligator,canary,0.084868213
alligator,carp,0.234530688
alligator,cat,0.276398262
alligator,caterpillar,0.053534609
alligator,catfish,0.440416855
alligator,centipede,0.170306938
alligator,chameleon,0.233810539
alligator,chicken,0.29211574
alligator,chimpanzee,0.253982233
alligator,chipmunk,0.069370049
alligator,cockroach,0.298774821
alligator,cod,0.137288594
alligator,cow,0.232725977
alligator,coyote,0.31636076
alligator,crab,0.331279735
alligator,crocodile,0.63149981
alligator,crow,0.276713335
alligator,cuttlefish,0.210837207
alligator,deer,0.363539484
alligator,dingo,0.24986012
alligator,dog,0.333675794
alligator,dolphin,0.363552505
alligator,donkey,0.255731381
alligator,dove,0.178980791
alligator,dragonfly,0.227866651
alligator,duck,0.354733343
alligator,eagle,0.257415602
alligator,eel,0.306130261
alligator,elephant,0.359123435
alligator,elk,0.324377641
alligator,emu,0.081644289
alligator,falcon,0.132473022
alligator,finch,0.046867919
alligator,flamingo,0.192502173
alligator,flea,0.276586159
alligator,fly,0.094194081
alligator,fox,0.050351442
alligator,frog,0.341284021
alligator,gazelle,0.198241012
alligator,gecko,0.271307569
alligator,gibbon,0.196797713
alligator,giraffe,0.356265519
alligator,goat,0.291319122
alligator,goldfish,0.283259455
alligator,goose,0.211678983
alligator,gorilla,0.355479071
alligator,grasshopper,0.118348374
alligator,hamster,0.26638615
alligator,hare,0.062474487
alligator,hawk,0.117069954
alligator,hedgehog,0.126461919
alligator,horse,0.185840873
alligator,hyena,0.359756
alligator,jaguar,0.181494087
alligator,jellyfish,0.283759897
alligator,kangaroo,0.32971229
alligator,kiwi,0.12136847
alligator,koala,0.259535286
alligator,ladybug,0.117550901
alligator,lemur,0.189198228
alligator,lemming,0.125930345
alligator,leopard,0.388884809
alligator,lion,0.272161341
alligator,lizard,0.545256509
alligator,lobster,0.327325175
alligator,mammoth,0.123229611
alligator,mink,0.298570663
alligator,mole,0.19682322
alligator,mongoose,0.254624582
alligator,monkey,0.27049212
alligator,moose,0.307175872
alligator,moth,0.190143411
alligator,mouse,0.216052563
alligator,mule,0.200136801
alligator,nightingale,0.016819384
alligator,nymph,0.111252285
alligator,octopus,0.268703231
alligator,okapi,0.149494456
alligator,ostrich,0.492423825
alligator,otter,0.266440509
alligator,owl,0.268815962
alligator,oyster,0.259035238
alligator,panda,0.310490124
alligator,panther,0.313128527
alligator,parakeet,0.245005109
alligator,parrot,0.34323262
alligator,peacock,0.240870784
alligator,pelican,0.343639424
alligator,penguin,0.205488213
alligator,pig,0.302938321
alligator,pigeon,0.247242836
alligator,piranha,0.310175749
alligator,platypus,0.238963814
alligator,pony,0.192779633
alligator,poodle,0.184037924
alligator,prawn,0.301043131
alligator,puma,0.124290025
alligator,python,0.314173318
alligator,rabbit,0.310047198
alligator,racoon,0.04206594
alligator,rat,0.331901312
alligator,rattlesnake,0.398173982
alligator,raven,0.207404851
alligator,reindeer,0.138883746
alligator,rhinoceros,0.269737363
alligator,robin,0
alligator,rooster,0.266080273
alligator,salamander,0.233412424
alligator,salmon,0.196279309
alligator,scallop,0.24202679
alligator,scorpion,0.312123205
alligator,seal,0.179658115
alligator,shark,0.513699443
alligator,sheep,0.1826517
alligator,shrimp,0.36432851
alligator,skunk,0.29449618
alligator,snail,0.188221633
alligator,snake,0.449787255
alligator,sparrow,0.196200549
alligator,spider,0.198109045
alligator,squid,0.297855489
alligator,squirrel,0.293358207
alligator,starfish,0.182088247
alligator,stingray,0.305914198
alligator,stork,0.171714646
alligator,swallow,0.161744267
alligator,swan,0.172758611
alligator,tapir,0.238983566
alligator,termite,0.210744352
alligator,tarantula,0.251697315
alligator,tiger,0.271672181
alligator,toad,0.344087956
alligator,tortoise,0.300310107
alligator,toucan,0.187083746
alligator,trout,0.308607052
alligator,turkey,0
alligator,turtle,0.52081165
alligator,walrus,0.258141605
alligator,wasp,0.159961312
alligator,weasel,0.24498624
alligator,whale,0.300849732
alligator,wolf,0.242283807
alligator,wombat,0.276870069
alligator,woodpecker,0.331879951
alligator,yak,0.131110515
alligator,zebra,0.372939831
ant,albatross,0.174394203
ant,alligator,0.213074796
ant,ant,1
ant,antelope,0.154478279
ant,baboon,0.195856452
ant,badger,0.201507033
ant,barracuda,0.156624149
ant,bat,0.212659425
ant,bear,0.11000253
ant,beaver,0.216053463
ant,bee,0.359625776
ant,beetle,0.340281381
ant,bison,0.15088413
ant,blackbird,0.12881974
ant,boa,0.194971867
ant,bonobo,0.107784952
ant,buffalo,0.086846935
ant,bumblebee,0.262419387
ant,butterfly,0.232707229
ant,caiman,0.089464253
ant,camel,0.161033798
ant,canary,0.187311715
ant,carp,0.06629373
ant,cat,0.259374067
ant,caterpillar,0.250046175
ant,catfish,0.205516853
ant,centipede,0.263299817
ant,chameleon,0.240094311
ant,chicken,0.13913987
ant,chimpanzee,0.173152018
ant,chipmunk,0.159422775
ant,cockroach,0.330013298
ant,cod,0.04773096
ant,cow,0.121307871
ant,coyote,0.256263981
ant,crab,0.270886529
ant,crocodile,0.27555545
ant,crow,0.277502989
ant,cuttlefish,0.123878892
ant,deer,0.223808549
ant,dingo,0.213965471
ant,dog,0.2433329
ant,dolphin,0.095131573
ant,donkey,0.154361873
ant,dove,0.092534486
ant,dragonfly,0.275623406
ant,duck,0.235776514
ant,eagle,0.146069829
ant,eel,0.161217051
ant,elephant,0.213441965
ant,elk,0.125785239
ant,emu,0.0855354
ant,falcon,0.1125898
ant,finch,0.18581234
ant,flamingo,0.190778302
ant,flea,0.24602399
ant,fly,0.158343399
ant,fox,0.115948723
ant,frog,0.339244415
ant,gazelle,0.108974847
ant,gecko,0.252845027
ant,gibbon,0.098300809
ant,giraffe,0.149608942
ant,goat,0.218831397
ant,goldfish,0.134036932
ant,goose,0.174193667
ant,gorilla,0.213048219
ant,grasshopper,0.418257739
ant,hamster,0.211432738
ant,hare,0.128673749
ant,hawk,0.177663473
ant,hedgehog,0.228561601
ant,horse,0.138633333
ant,hyena,0.227191629
ant,jaguar,0.102187112
ant,jellyfish,0.248200551
ant,kangaroo,0.177609319
ant,kiwi,0.093289286
ant,koala,0.121157382
ant,ladybug,0.202582245
ant,lemur,0.139703595
ant,lemming,0.118037455
ant,leopard,0.179957668
ant,lion,0.145239291
ant,lizard,0.321936398
ant,lobster,0.133581604
ant,mammoth,0.157291586
ant,mink,0.091849752
ant,mole,0.184618176
ant,mongoose,0.170950754
ant,monkey,0.306911495
ant,moose,0.118317129
ant,moth,0.318742222
ant,mouse,0.193049508
ant,mule,0.146876376
ant,nightingale,0.116473448
ant,nymph,0.140634201
ant,octopus,0.222832144
ant,okapi,0.059963907
ant,ostrich,0.24363717
ant,otter,0.0712706
ant,owl,0.351810495
ant,oyster,0.122033012
ant,panda,0.129402065
ant,panther,0.224000108
ant,parakeet,0.129477035
ant,parrot,0.41125396
ant,peacock,0.188780797
ant,pelican,0.098132984
ant,penguin,0.193168916
ant,pig,0.214894324
ant,pigeon,0.220614287
ant,piranha,0.321376986
ant,platypus,0.16221266
ant,pony,0.118119972
ant,poodle,0.149878232
ant,prawn,0.205442651
ant,puma,0.026434998
