Animal1,Animal2,weights
albatross,albatross,1
albatross,alligator,0.26487191
albatross,ant,0.202203923
albatross,antelope,0.201249601
albatross,baboon,0.194228291
albatross,badger,0.227821482
albatross,barracuda,0.249485582
albatross,bat,0.118248558
albatross,bear,0.240829107
albatross,beaver,0.195192934
albatross,bee,0.097229255
albatross,beetle,0.178873803
albatross,bison,0.165756206
albatross,blackbird,0.177578959
albatross,boa,0.229469718
albatross,bonobo,0.124337738
albatross,buffalo,0.153065919
albatross,bumblebee,0.217473657
albatross,butterfly,0.267740686
albatross,caiman,0.201413841
albatross,camel,0.198925435
albatross,canary,0.194253594
albatross,carp,0.173617434
albatross,cat,0.203299467
albatross,caterpillar,0.175229221
albatross,catfish,0.170900844
albatross,centipede,0.206994614
albatross,chameleon,0.133068985
albatross,chicken,0.191619235
albatross,chimpanzee,0.147819165
albatross,chipmunk,0.157903958
albatross,cockroach,0.214992517
albatross,cod,0.204110979
albatross,cow,0.253342364
albatross,coyote,0.19471919
albatross,crab,0.213476875
albatross,crocodile,0.241675362
albatross,crow,0.327561389
albatross,cuttlefish,0.222542826
albatross,deer,0.162979728
albatross,dingo,0.165008163
albatross,dog,0.122323001
albatross,dolphin,0.255806402
albatross,donkey,0.19286326
albatross,dove,0.20022226
albatross,dragonfly,0.29676262
albatross,duck,0.233190407
albatross,eagle,0.392219672
albatross,eel,0.186547015
albatross,elephant,0.34144461
albatross,elk,0.182253852
albatross,emu,0.177065277
albatross,falcon,0.277585747
albatross,finch,0.230406051
albatross,flamingo,0.231741311
albatross,flea,0.104471758
albatross,fly,0.141363474
albatross,fox,0.275514813
albatross,frog,0.253661346
albatross,gazelle,0.161835687
albatross,gecko,0.119367782
albatross,gibbon,0.231393972
albatross,giraffe,0.282294896
albatross,goat,0.232339494
albatross,goldfish,0.203118743
albatross,goose,0.314989273
albatross,gorilla,0.212180647
albatross,grasshopper,0.204457622
albatross,hamster,0.102547647
albatross,hare,0.224623938
albatross,hawk,0.250315427
albatross,hedgehog,0.165870231
albatross,horse,0.15876027
albatross,hyena,0.208847073
albatross,jaguar,0.184876122
albatross,jellyfish,0.236207954
albatross,kangaroo,0.269219089
albatross,kiwi,0.161042951
albatross,koala,0.228804293
albatross,ladybug,0.181381059
albatross,lemur,0.203221632
albatross,lemming,0.227729195
albatross,leopard,0.142922905
albatross,lion,0.232412891
albatross,lizard,0.233110032
albatross,lobster,0.226316624
albatross,mammoth,0.238217423
albatross,mink,0.186513314
albatross,mole,0.130674805
albatross,mongoose,0.174697203
albatross,monkey,0.275438229
albatross,moose,0.247717359
albatross,moth,0.251271586
albatross,mouse,0.09133291
albatross,mule,0.060420778
albatross,nightingale,0.154915397
albatross,nymph,0.170900509
albatross,octopus,0.295511384
albatross,okapi,0.217353344
albatross,ostrich,0.314828502
albatross,otter,0.273508029
albatross,owl,0.310648604
albatross,oyster,0.140256736
albatross,panda,0.15552178
albatross,panther,0.217145134
albatross,parakeet,0.205733578
albatross,parrot,0.28592111
albatross,peacock,0.304359586
albatross,pelican,0.347520441
albatross,penguin,0.200416247
albatross,pig,0.224321302
albatross,pigeon,0.282317699
albatross,piranha,0.238578371
albatross,platypus,0.209280785
albatross,pony,0.182804641
albatross,poodle,0.20967009
albatross,prawn,0.190614553
albatross,puma,0.166440907
albatross,python,0.250060793
albatross,rabbit,0.296308584
albatross,racoon,0.228140822
albatross,rat,0.270068556
albatross,rattlesnake,0.139263974
albatross,raven,0.296829622
albatross,reindeer,0.164749123
albatross,rhinoceros,0.258480282
albatross,robin,0.268237245
albatross,rooster,0.215656217
albatross,salamander,0.158750783
albatross,salmon,0.142160302
albatross,scallop,0.142686409
albatross,scorpion,0.18380464
albatross,seal,0.168232757
albatross,shark,0.280918249
albatross,sheep,0.206471417
albatross,shrimp,0.177593595
albatross,skunk,0.21120199
albatross,snail,0.186102978
albatross,snake,0.261160959
albatross,sparrow,0.263024016
albatross,spider,0.216321358
albatross,squid,0.226521054
albatross,squirrel,0.241958177
albatross,starfish,0.192239812
albatross,stingray,0.147613596
albatross,stork,0.251082207
albatross,swallow,0.203693768
albatross,swan,0.334788531
albatross,tapir,0.189035183
albatross,termite,0.145553745
albatross,tarantula,0.190200067
albatross,tiger,0.214999485
albatross,toad,0.308927012
albatross,tortoise,0.226978933
albatross,toucan,0.198225497
albatross,trout,0.142778161
albatross,turkey,0.199476212
albatross,turtle,0.268544814
albatross,walrus,0.245469682
albatross,wasp,0.234079005
albatross,weasel,0.266658601
albatross,whale,0.34718262
albatross,wolf,0.190256186
albatross,wombat,0.159912282
albatross,woodpecker,0.193751654
albatross,yak,0.16436955
albatross,zebra,0.180444066
alligator,albatross,0.26487191
alligator,alligator,1
alligator,ant,0.386028971
alligator,antelope,0.421013525
alligator,baboon,0.367633312
alligator,badger,0.313159117
alligator,barracuda,0.445793423
alligator,bat,0.202181359
alligator,bear,0.378951077
alligator,beaver,0.468144604
alligator,bee,0.308528724
alligator,beetle,0.376146956
alligator,bison,0.395320191
alligator,blackbird,0.29446675
alligator,boa,0.509423748
alligator,bonobo,0.296612629
alligator,buffalo,0.442258375
alligator,bumblebee,0.279868935
alligator,butterfly,0.334440616
alligator,caiman,0.601591421
alligator,camel,0.239963016
alligator,canary,0.115818339
alligator,carp,0.404536037
alligator,cat,0.475778686
alligator,caterpillar,0.323175537
alligator,catfish,0.506758214
alligator,centipede,0.395258396
alligator,chameleon,0.199605234
alligator,chicken,0.31999799
alligator,chimpanzee,0.381935704
alligator,chipmunk,0.389079488
alligator,cockroach,0.390237372
alligator,cod,0.221339759
alligator,cow,0.315083698
alligator,coyote,0.613678281
alligator,crab,0.381247607
alligator,crocodile,0.710182002
alligator,crow,0.362171394
alligator,cuttlefish,0.340760569
alligator,deer,0.491770624
alligator,dingo,0.450463286
alligator,dog,0.492003696
alligator,dolphin,0.524796682
alligator,donkey,0.247519505
alligator,dove,0.326762084
alligator,dragonfly,0.396119105
alligator,duck,0.40062584
alligator,eagle,0.361030074
alligator,eel,0.464945361
alligator,elephant,0.489028831
alligator,elk,0.419728166
alligator,emu,0.530839545
alligator,falcon,0.3967773
alligator,finch,0.350362719
alligator,flamingo,0.452819846
alligator,flea,0.342582381
alligator,fly,0.075304735
alligator,fox,0.48376415
alligator,frog,0.501017793
alligator,gazelle,0.27120174
alligator,gecko,0.387034506
alligator,gibbon,0.359695556
alligator,giraffe,0.470561885
alligator,goat,0.390182516
alligator,goldfish,0.4051924
alligator,goose,0.402574968
alligator,gorilla,0.506245275
alligator,grasshopper,0.355012223
alligator,hamster,0.303015985
alligator,hare,0.24304326
alligator,hawk,0.284529018
alligator,hedgehog,0.325865631
alligator,horse,0.262963388
alligator,hyena,0.38021753
alligator,jaguar,0.458506928
alligator,jellyfish,0.384002908
alligator,kangaroo,0.391148927
alligator,kiwi,0.194963856
alligator,koala,0.371050704
alligator,ladybug,0.341906627
alligator,lemur,0.45229307
alligator,lemming,0.073870779
alligator,leopard,0.482896086
alligator,lion,0.370857107
alligator,lizard,0.539285714
alligator,lobster,0.434422947
alligator,mammoth,0.107287621
alligator,mink,0.317971256
alligator,mole,0.232896769
alligator,mongoose,0.380049791
alligator,monkey,0.4500944
alligator,moose,0.43971253
alligator,moth,0.316195545
alligator,mouse,0.188866148
alligator,mule,0.219048354
alligator,nightingale,0.128742831
alligator,nymph,0.239277679
alligator,octopus,0.387873868
alligator,okapi,0.380501623
alligator,ostrich,0.398172323
alligator,otter,0.53256094
alligator,owl,0.444607263
alligator,oyster,0.403354644
alligator,panda,0.362571042
alligator,panther,0.627023271
alligator,parakeet,0.338051946
alligator,parrot,0.420983622
alligator,peacock,0.386695891
alligator,pelican,0.489658784
alligator,penguin,0.345434612
alligator,pig,0.40209437
alligator,pigeon,0.374163453
alligator,piranha,0.539843924
alligator,platypus,0.308981844
alligator,pony,0.227602613
alligator,poodle,0.370216766
alligator,prawn,0.322082557
alligator,puma,0.411189482
alligator,python,0.642165622
alligator,rabbit,0.529126369
alligator,racoon,0.480659998
alligator,rat,0.39302125
alligator,rattlesnake,0.595277081
alligator,raven,0.29288886
alligator,reindeer,0.249202472
alligator,rhinoceros,0.448468445
alligator,robin,0.353298452
alligator,rooster,0.481641289
alligator,salamander,0.439477309
alligator,salmon,0.29777239
alligator,scallop,0.324689104
alligator,scorpion,0.440362188
alligator,seal,0.151583267
alligator,shark,0.583222913
alligator,sheep,0.233812231
alligator,shrimp,0.433434651
alligator,skunk,0.426266571
alligator,snail,0.335796659
alligator,snake,0.634928448
alligator,sparrow,0.304485354
alligator,spider,0.434118158
alligator,squid,0.403223761
alligator,squirrel,0.511402334
alligator,starfish,0.313608273
alligator,stingray,0.564247681
alligator,stork,0.309018141
alligator,swallow,0.124158047
alligator,swan,0.403328421
alligator,tapir,0.440675846
alligator,termite,0.365734853
alligator,tarantula,0.479215678
alligator,tiger,0.557958997
alligator,toad,0.500995696
alligator,tortoise,0.441282923
alligator,toucan,0.368849261
alligator,trout,0.417856285
alligator,turkey,0.343518812
alligator,turtle,0.570501658
alligator,walrus,0.308491156
alligator,wasp,0.40330331
alligator,weasel,0.289704852
alligator,whale,0.457749745
alligator,wolf,0.435626261
alligator,wombat,0.330438044
alligator,woodpecker,0.416404369
alligator,yak,0.195665494
alligator,zebra,0.471613883
ant,albatross,0.202203923
ant,alligator,0.386028971
ant,ant,1
ant,antelope,0.326489242
ant,baboon,0.336773664
ant,badger,0.335776613
ant,barracuda,0.225411978
ant,bat,0.155198358
ant,bear,0.211894324
ant,beaver,0.376439373
ant,bee,0.490151494
ant,beetle,0.546891681
ant,bison,0.185228201
ant,blackbird,0.359545809
ant,boa,0.271214179
