Animal1,Animal2,weights
albatross,albatross,1
albatross,alligator,0.61849947
albatross,ant,0.168638715
albatross,antelope,0.66792697
albatross,baboon,0.490208419
albatross,badger,0.32606123
albatross,barracuda,0.647926145
albatross,bat,0.112673121
albatross,bear,0.109987341
albatross,beaver,0.524482797
albatross,bee,0
albatross,beetle,0.624034313
albatross,bison,0.504656824
albatross,blackbird,0.423382737
albatross,boa,0
albatross,bonobo,0.467548973
albatross,buffalo,0.238139893
albatross,bumblebee,0.645482118
albatross,butterfly,0.473080744
albatross,caiman,0.492852705
albatross,camel,0.406884452
albatross,canary,0.571293194
albatross,carp,0.41754854
albatross,cat,0.025056235
albatross,caterpillar,0.579088418
albatross,catfish,0.009341204
albatross,centipede,0.482903658
albatross,chameleon,0.590355762
albatross,chicken,0.028360954
albatross,chimpanzee,0.462253648
albatross,chipmunk,0.354066841
albatross,cockroach,0.502480593
albatross,cod,0.010678905
albatross,cow,0.221553988
albatross,coyote,0.415542851
albatross,crab,0.311334966
albatross,crocodile,0.564499139
albatross,crow,0.397385782
albatross,cuttlefish,0.384825666
albatross,deer,0.499891125
albatross,dingo,0.576360534
albatross,dog,0.054503407
albatross,dolphin,0.447081483
albatross,donkey,0.380860668
albatross,dove,0.039385569
albatross,dragonfly,0.70477304
albatross,duck,0.199294821
albatross,eagle,0.476457118
albatross,eel,0.199381096
albatross,elephant,0.436989856
albatross,elk,0.322596849
albatross,emu,0.465038625
albatross,falcon,0.370549416
albatross,finch,0.506717819
albatross,flamingo,0.498418565
albatross,flea,0.443241062
albatross,fly,0.037230505
albatross,fox,0
albatross,frog,0.396890149
albatross,gazelle,0.688149728
albatross,gecko,0.538417185
albatross,gibbon,0.605712973
albatross,giraffe,0.436182426
albatross,goat,0.285745297
albatross,goldfish,0.312061224
albatross,goose,0.38245572
albatross,gorilla,0.439582781
albatross,grasshopper,0.490744174
albatross,hamster,0.071467319
albatross,hare,0
albatross,hawk,0.489760803
albatross,hedgehog,0.454902366
albatross,horse,0.252285783
albatross,hyena,0.461780698
albatross,jaguar,0.439981887
albatross,jellyfish,0.580822335
albatross,kangaroo,0.50456071
albatross,kiwi,0.152071194
albatross,koala,0.197183138
albatross,ladybug,0.628103711
albatross,lemur,0.559183179
albatross,lemming,0.678739969
albatross,leopard,0.351722586
albatross,lion,0.249315913
albatross,lizard,0.457505726
albatross,lobster,0.297287082
albatross,mammoth,0.621443765
albatross,mink,0.57809888
albatross,mole,0
albatross,mongoose,0.610587337
albatross,monkey,0.230223439
albatross,moose,0.505239998
albatross,moth,0.635237596
albatross,mouse,0.120292944
albatross,mule,0.307214079
albatross,nightingale,0.42757957
albatross,nymph,0.749193173
albatross,octopus,0.517518485
albatross,okapi,0.609270146
albatross,ostrich,0.590630185
albatross,otter,0.517670567
albatross,owl,0.358532803
albatross,oyster,0.571407224
albatross,panda,0
albatross,panther,0.524908983
albatross,parakeet,0.644276535
albatross,parrot,0.484959554
albatross,peacock,0.449178388
albatross,pelican,0.671661104
albatross,penguin,0.241224341
albatross,pig,0.166278882
albatross,pigeon,0.367484905
albatross,piranha,0
albatross,platypus,0.405108776
albatross,pony,0.15740685
albatross,poodle,0.253286928
albatross,prawn,0.269896877
albatross,puma,0.24139449
albatross,python,0.357056066
albatross,rabbit,0.324178765
albatross,racoon,0.615041327
albatross,rat,0.280402105
albatross,rattlesnake,0.697968556
albatross,raven,0.115939791
albatross,reindeer,0.425725618
albatross,rhinoceros,0.695687726
albatross,robin,0.021750317
albatross,rooster,0.385987039
albatross,salamander,0.662024985
albatross,salmon,0.177203212
albatross,scallop,0.58748544
albatross,scorpion,0.354161558
albatross,seal,0.551211937
albatross,shark,0.413232531
albatross,sheep,0.39392554
albatross,shrimp,0.177043782
albatross,skunk,0.252531466
albatross,snail,0.501115884
albatross,snake,0.388305621
albatross,sparrow,0.23482715
albatross,spider,0.312872492
albatross,squid,0.541658694
albatross,squirrel,0.417181018
albatross,starfish,0.588405095
albatross,stingray,0.713767316
albatross,stork,0.585371551
albatross,swallow,0.217724338
albatross,swan,0.217264164
albatross,tapir,0.249746383
albatross,termite,0.435228933
albatross,tarantula,0.645670149
albatross,tiger,0.37672462
albatross,toad,0.575582542
albatross,tortoise,0.654270685
albatross,toucan,0.536487768
albatross,trout,0.403402486
albatross,turkey,0.111861356
albatross,turtle,0.385072225
albatross,walrus,0.374177583
albatross,wasp,0.678076306
albatross,weasel,0.445113289
albatross,whale,0.350399046
albatross,wolf,0.125518722
albatross,wombat,0.573376041
albatross,woodpecker,0.619451461
albatross,yak,0
albatross,zebra,0.337301253
alligator,albatross,0.61849947
alligator,alligator,1
alligator,ant,0.498134903
alligator,antelope,0.734462732
alligator,baboon,0.739432766
alligator,badger,0.705986296
alligator,barracuda,0.528953301
alligator,bat,0.380022822
alligator,bear,0.669994492
alligator,beaver,0.833875103
alligator,bee,0.418115032
alligator,beetle,0.782807709
alligator,bison,0.709821925
alligator,blackbird,0.458017352
alligator,boa,0
alligator,bonobo,0.606029485
alligator,buffalo,0.660684397
alligator,bumblebee,0.777117651
alligator,butterfly,0.691884016
alligator,caiman,0.370059678
alligator,camel,0.846447549
alligator,canary,0.602791313
alligator,carp,0.409472831
alligator,cat,0.635644968
alligator,caterpillar,0.803586654
alligator,catfish,0.433632599
alligator,centipede,0.621333507
alligator,chameleon,0.691282079
alligator,chicken,0.675920002
alligator,chimpanzee,0.700929582
alligator,chipmunk,0.609209522
alligator,cockroach,0.78318942
alligator,cod,0.314720138
alligator,cow,0.749923332
alligator,coyote,0.647160381
alligator,crab,0.829721726
alligator,crocodile,0.896938523
alligator,crow,0.662884608
alligator,cuttlefish,0.509493582
alligator,deer,0.893344566
alligator,dingo,0.747412072
alligator,dog,0.680146616
alligator,dolphin,0.817541575
alligator,donkey,0.858803909
alligator,dove,0.317328917
alligator,dragonfly,0.723454679
alligator,duck,0.781253813
alligator,eagle,0.768028558
alligator,eel,0.306888817
alligator,elephant,0.878150223
alligator,elk,0.353736332
alligator,emu,0.466566855
alligator,falcon,0.500562973
alligator,finch,0.652144669
alligator,flamingo,0.759477419
alligator,flea,0.809791133
alligator,fly,0.465793097
alligator,fox,0.314624302
alligator,frog,0.831209973
alligator,gazelle,0.669156735
alligator,gecko,0.842801529
alligator,gibbon,0.421958219
alligator,giraffe,0.865136126
alligator,goat,0.819064406
alligator,goldfish,0.691742712
alligator,goose,0.763335667
alligator,gorilla,0.869985558
alligator,grasshopper,0.717328314
alligator,hamster,0.613778985
alligator,hare,0
alligator,hawk,0.75747299
alligator,hedgehog,0.617253599
alligator,horse,0.776992268
alligator,hyena,0.63383836
alligator,jaguar,0.640748095
alligator,jellyfish,0.783391769
alligator,kangaroo,0.892636072
alligator,kiwi,0.65811979
alligator,koala,0.686725311
alligator,ladybug,0.706016424
alligator,lemur,0.689161373
alligator,lemming,0.438860263
alligator,leopard,0.701696134
alligator,lion,0.662490757
alligator,lizard,0.851075438
alligator,lobster,0.800746211
alligator,mammoth,0.765429093
alligator,mink,0.816087958
alligator,mole,0.486355689
alligator,mongoose,0.671787583
alligator,monkey,0.765912008
alligator,moose,0.919432724
alligator,moth,0.836206013
alligator,mouse,0.576915085
alligator,mule,0.471583417
alligator,nightingale,0.42942722
alligator,nymph,0.553879533
alligator,octopus,0.815750313
alligator,okapi,0.356056152
alligator,ostrich,0.92152549
alligator,otter,0.827093007
alligator,owl,0.681802814
alligator,oyster,0.847115899
alligator,panda,0.51651625
alligator,panther,0.696819442
alligator,parakeet,0.687115335
alligator,parrot,0.878180173
alligator,peacock,0.768137052
alligator,pelican,0.847915455
alligator,penguin,0.667012488
alligator,pig,0.822703568
alligator,pigeon,0.757983009
alligator,piranha,0.364213665
alligator,platypus,0.683943308
alligator,pony,0.599464925
alligator,poodle,0.747709508
alligator,prawn,0.71712724
alligator,puma,0.383261548
alligator,python,0.611927212
alligator,rabbit,0.795140383
alligator,racoon,0.655323087
alligator,rat,0.760644446
alligator,rattlesnake,0.809255039
