Animal1,Animal2,weights
albatross,albatross,1
albatross,alligator,0.357899255
albatross,ant,0.222309553
albatross,antelope,0.247794276
albatross,baboon,0.279255184
albatross,badger,0.247787417
albatross,barracuda,0.297179927
albatross,bat,0.26011493
albatross,bear,0.146017496
albatross,beaver,0.142074985
albatross,bee,0.247010135
albatross,beetle,0.171792497
albatross,bison,0.182163071
albatross,blackbird,0.337900964
albatross,boa,0.166970626
albatross,bonobo,0.265414895
albatross,buffalo,0.128321023
albatross,bumblebee,0.256750731
albatross,butterfly,0.244443566
albatross,caiman,0.313364736
albatross,camel,0.245733961
albatross,canary,0.207601803
albatross,carp,0.151531487
albatross,cat,0.297409139
albatross,caterpillar,0.146549131
albatross,catfish,0.233393457
albatross,centipede,0.213253852
albatross,chameleon,0.165800467
albatross,chicken,0.206760485
albatross,chimpanzee,0.253118768
albatross,chipmunk,0.269917303
albatross,cockroach,0.268125739
albatross,cod,0.217498744
albatross,cow,0.196841952
albatross,coyote,0.214257431
albatross,crab,0.263990171
albatross,crocodile,0.344143134
albatross,crow,0.245761942
albatross,cuttlefish,0.288870879
albatross,deer,0.137520966
albatross,dingo,0.255522452
albatross,dog,0.265822744
albatross,dolphin,0.449567224
albatross,donkey,0.209095333
albatross,dove,0.319755463
albatross,dragonfly,0.407549887
albatross,duck,0.370186732
albatross,eagle,0.363996999
albatross,eel,0.284219712
albatross,elephant,0.347146789
albatross,elk,0.174947302
albatross,emu,0.281556932
albatross,falcon,0.344049342
albatross,finch,0.237707566
albatross,flamingo,0.331146949
albatross,flea,0.183963801
albatross,fly,0.274966033
albatross,fox,0.127483085
albatross,frog,0.262072047
albatross,gazelle,0.355892775
albatross,gecko,0.178315762
albatross,gibbon,0.135783826
albatross,giraffe,0.400912821
albatross,goat,0.265123522
albatross,goldfish,0.286210335
albatross,goose,0.33156656
albatross,gorilla,0.263143057
albatross,grasshopper,0.289999708
albatross,hamster,0.190751653
albatross,hare,0.143722394
albatross,hawk,0.326076151
albatross,hedgehog,0.198588118
albatross,horse,0.237801012
albatross,hyena,0.253773405
albatross,jaguar,0.164454606
albatross,jellyfish,0.294970842
albatross,kangaroo,0.259274663
albatross,kiwi,0.274163783
albatross,koala,0.287611543
albatross,ladybug,0.183575077
albatross,lemur,0.253495718
albatross,lemming,0.195068452
albatross,leopard,0.308623895
albatross,lion,0.206286049
albatross,lizard,0.306689308
albatross,lobster,0.273561462
albatross,mammoth,0.134856825
albatross,mink,0.193119516
albatross,mole,0.136103299
albatross,mongoose,0.298948276
albatross,monkey,0.273349082
albatross,moose,0.136336958
albatross,moth,0.206869522
albatross,mouse,0.194779862
albatross,mule,0.166036255
albatross,nightingale,0.218675303
albatross,nymph,0.250541715
albatross,octopus,0.325710833
albatross,okapi,0.267453303
albatross,ostrich,0.335470663
albatross,otter,0.383667074
albatross,owl,0.368843979
albatross,oyster,0.224366433
albatross,panda,0.242970372
albatross,panther,0.193597492
albatross,parakeet,0.327566098
albatross,parrot,0.440842644
albatross,peacock,0.247060805
albatross,pelican,0.403710012
albatross,penguin,0.28560545
albatross,pig,0.265147521
albatross,pigeon,0.382066338
albatross,piranha,0.277352458
albatross,platypus,0.352410944
albatross,pony,0.165055755
albatross,poodle,0.189658211
albatross,prawn,0.281967804
albatross,puma,0.205938624
albatross,python,0.138702607
albatross,rabbit,0.282713812
albatross,racoon,0.338124044
albatross,rat,0.227462659
albatross,rattlesnake,0.281716177
albatross,raven,0.300184341
albatross,reindeer,0.209782075
albatross,rhinoceros,0.286195947
albatross,robin,0.05036451
albatross,rooster,0.160397295
albatross,salamander,0.241386025
albatross,salmon,0.225283514
albatross,scallop,0.233396572
albatross,scorpion,0.275124749
albatross,seal,0.21760367
albatross,shark,0.355341593
albatross,sheep,0.211411907
albatross,shrimp,0.258727156
albatross,skunk,0.277739072
albatross,snail,0.186364581
albatross,snake,0.249305992
albatross,sparrow,0.371962503
albatross,spider,0.189335553
albatross,squid,0.334785907
albatross,squirrel,0.301001373
albatross,starfish,0.34129018
albatross,stingray,0.323043081
albatross,stork,0.382233902
albatross,swallow,0.35235285
albatross,swan,0.316607158
albatross,tapir,0.253288567
albatross,termite,0.146152978
albatross,tarantula,0.278308293
albatross,tiger,0.30673795
albatross,toad,0.181010343
albatross,tortoise,0.295646927
albatross,toucan,0.342075549
albatross,trout,0.151347943
albatross,turkey,0.043507196
albatross,turtle,0.326187347
albatross,walrus,0.388786245
albatross,wasp,0.345472956
albatross,weasel,0.30246428
albatross,whale,0.446489654
albatross,wolf,0.206326402
albatross,wombat,0.311698216
albatross,woodpecker,0.340955108
albatross,yak,0.261696969
albatross,zebra,0.331584777
alligator,albatross,0.357899255
alligator,alligator,1
alligator,ant,0.338004175
alligator,antelope,0.323077478
alligator,baboon,0.425106686
alligator,badger,0.340603338
alligator,barracuda,0.303138338
alligator,bat,0.249687743
alligator,bear,0.351030262
