[run number],threshold,person1,person2,[step],words-said
1,0.1,animals_gigaword.csv,animals_gigaword.csv,21,[fly swallow beaver bear turtle crocodile tortoise kangaroo poodle walrus lemur panther squirrel racoon piranha scorpion starfish baboon albatross parrot octopus crocodile]
6,0.3,animals_google.csv,animals_gigaword.csv,32,[zebra gazelle hyena baboon tiger gorilla dolphin owl goat reindeer chipmunk squirrel bee frog salamander eel lobster whale beetle lizard gecko scorpion falcon eagle caiman mongoose flamingo pelican otter lion dog coyote scorpion]
5,0.2,animals_google.csv,animals_gigaword.csv,24,[racoon bonobo chimpanzee tapir wombat tortoise gibbon gorilla stork eagle horse gazelle coyote lizard spider panda mammoth lion owl ostrich piranha squid scallop walrus eagle]
8,0.2,animals_twitter.csv,animals_gigaword.csv,6,[mongoose mouse elephant crow swallow squirrel elephant]
4,0.1,animals_google.csv,animals_gigaword.csv,37,[stork dog gorilla goat bat mammoth lemur toucan dolphin caiman penguin elephant spider tortoise crab barracuda mongoose walrus crow jaguar shark coyote moose wolf lemming cockroach hawk ostrich bear leopard pelican sparrow jellyfish gazelle nightingale tarantula chimpanzee elephant]
3,0.3,animals_gigaword.csv,animals_gigaword.csv,31,[octopus trout carp catfish alligator deer tiger panda monkey cat gorilla tapir salamander turtle duck pig rooster tortoise starfish jellyfish snake cockroach beetle wasp bee ant grasshopper sparrow pelican albatross woodpecker ant]
7,0.1,animals_twitter.csv,animals_gigaword.csv,75,[mink tiger tortoise starfish hawk scorpion gecko frog woodpecker rabbit falcon penguin beetle chicken buffalo cow wombat duck deer hyena crow dolphin walrus lemur squid canary rhinoceros donkey shrimp cod hamster caiman alligator wasp salmon bison hedgehog badger seal pig caterpillar poodle koala owl wolf panda ostrich lion mongoose dingo flamingo giraffe racoon octopus swallow camel moth albatross shark antelope mule emu beaver carp tarantula cuttlefish gazelle centipede snail toucan robin bumblebee oyster swan chameleon frog]
2,0.2,animals_gigaword.csv,animals_gigaword.csv,24,[rhinoceros albatross mink wolf antelope rattlesnake hyena lizard coyote rabbit chicken shark dolphin hamster boa monkey cow horse lion panda woodpecker stingray canary tortoise antelope]
9,0.3,animals_twitter.csv,animals_gigaword.csv,23,[duck moose salamander gecko chicken crab cow elk snake eel flea rat dingo bison coyote otter pony horse wombat tapir seal bear racoon]
11,0.2,animals_wikipedia.csv,animals_gigaword.csv,33,[snail beetle alligator whale reindeer gazelle wombat salamander rabbit lizard ladybug cuttlefish scallop kangaroo mole pig turtle tortoise flamingo raven dingo skunk octopus hamster prawn penguin mouse chimpanzee mongoose weasel toad trout dragonfly tortoise]
10,0.1,animals_wikipedia.csv,animals_gigaword.csv,38,[chicken catfish kangaroo pig antelope parakeet okapi alligator zebra python hyena toucan rattlesnake leopard squid salmon swallow pigeon woodpecker lemur trout squirrel wombat deer elephant butterfly mouse panda goldfish hawk bison cat fly eagle pony boa caterpillar dragonfly toucan]
12,0.3,animals_wikipedia.csv,animals_gigaword.csv,32,[dragonfly lizard mouse lemur bonobo skunk crocodile leopard gorilla alligator cockroach monkey ostrich cow prawn jellyfish giraffe hyena mole frog shrimp trout carp eel otter mink reindeer deer mammoth rhinoceros sheep camel deer]
14,0.2,animals_gigaword.csv,animals_google.csv,49,[sheep goat lizard turkey duck badger wombat tapir jaguar tiger monkey nymph hamster rat crab lobster dog deer snake camel goose ant weasel rattlesnake otter chipmunk lemur hare moose reindeer wolf moth ladybug eagle dolphin caiman baboon chicken shrimp penguin panther toucan mongoose cow pigeon gazelle hawk gecko stingray eagle]
15,0.3,animals_gigaword.csv,animals_google.csv,22,[alligator cockroach dragonfly hare squirrel pig duck wolf moose eagle antelope woodpecker parrot tarantula scorpion camel sheep baboon hyena elephant dolphin pigeon duck]
13,0.1,animals_gigaword.csv,animals_google.csv,47,[donkey toad dingo goat bear bee moth crab jellyfish snail mammoth beaver crocodile robin finch goldfish rattlesnake mouse falcon goose monkey antelope snake ladybug lemming boa zebra reindeer horse rabbit cat elephant rooster albatross whale parrot crow ostrich platypus racoon bonobo chipmunk wombat pig chimpanzee baboon yak goat]
16,0.1,animals_google.csv,animals_google.csv,16,[otter raven python badger ostrich rooster lion shark lizard centipede alligator hamster giraffe parrot cod dove python]
21,0.3,animals_twitter.csv,animals_google.csv,12,[falcon owl goat snake finch lizard reindeer cow spider python canary frog snake]
17,0.2,animals_google.csv,animals_google.csv,8,[okapi snake crocodile coyote goose shark penguin koala crocodile]
18,0.3,animals_google.csv,animals_google.csv,23,[badger rattlesnake moth raven lizard goat elephant eagle stork owl spider squid snail pelican cuttlefish peacock rat tortoise hare toucan parakeet reindeer hyena owl]
19,0.1,animals_twitter.csv,animals_google.csv,50,[carp coyote fly turkey donkey beaver octopus shrimp seal salmon cat sparrow elephant deer lion rat walrus penguin canary zebra mule platypus beetle whale frog grasshopper elk raven rabbit leopard giraffe caiman eel ladybug caterpillar centipede hyena mongoose salamander barracuda chameleon woodpecker badger chipmunk panda alligator mink gazelle bison baboon eel]
20,0.2,animals_twitter.csv,animals_google.csv,36,[shrimp piranha rat stingray rabbit spider barracuda dingo antelope kangaroo lizard shark squid elk moose giraffe lion mule salamander elephant gecko turtle flea crocodile zebra rooster butterfly dragonfly wombat parrot woodpecker bonobo rattlesnake okapi mongoose robin giraffe]
22,0.1,animals_wikipedia.csv,animals_google.csv,36,[crow scallop tortoise panther cow weasel giraffe trout caiman catfish caterpillar tarantula jaguar crocodile pigeon lobster tiger oyster starfish pelican penguin wombat swan crab lemur lemming emu kiwi monkey falcon rattlesnake parakeet ostrich toucan dragonfly rabbit dragonfly]
23,0.2,animals_wikipedia.csv,animals_google.csv,34,[oyster pig hyena rhinoceros goat scorpion monkey dog nymph butterfly goldfish fox deer cat panda moose rabbit wasp bat snake platypus python dolphin otter buffalo rooster peacock crow lemming weasel hedgehog pigeon elephant lion platypus]
24,0.3,animals_wikipedia.csv,animals_google.csv,15,[crocodile wombat reindeer peacock goose frog gorilla jaguar dragonfly koala squirrel eel elephant caterpillar moth peacock]
25,0.1,animals_gigaword.csv,animals_twitter.csv,37,[shrimp catfish crow finch shark oyster cod donkey dingo swallow flea mammoth hyena tarantula rhinoceros wasp stork camel cockroach parrot gorilla flamingo jaguar hedgehog rattlesnake bison toad dolphin leopard spider raven monkey boa dog termite trout gibbon flamingo]
26,0.2,animals_gigaword.csv,animals_twitter.csv,30,[tarantula elephant butterfly platypus tapir wombat mammoth bear wolf dolphin turtle gazelle owl starfish gecko chipmunk ladybug racoon chameleon tortoise lion eagle boa piranha alligator dingo ant mule badger pelican wombat]
27,0.3,animals_gigaword.csv,animals_twitter.csv,6,[duck weasel mongoose salamander frog caterpillar]
28,0.1,animals_google.csv,animals_twitter.csv,45,[lobster sparrow toad snake starfish bonobo caterpillar butterfly monkey rabbit lion scorpion stork barracuda canary hyena zebra dragonfly elk pony weasel hawk antelope rattlesnake wasp cow boa emu chicken salmon prawn baboon leopard camel walrus cat deer otter lizard woodpecker puma pigeon hare coyote frog butterfly]
30,0.3,animals_google.csv,animals_twitter.csv,33,[puma beetle crab squid finch turkey buffalo gecko octopus caterpillar cockroach racoon toad owl reindeer ostrich horse elk lizard turtle leopard goldfish beaver lemur centipede giraffe peacock dragonfly mongoose tarantula zebra parakeet tiger buffalo]
29,0.2,animals_google.csv,animals_twitter.csv,58,[panther turtle puma bat falcon moose crocodile moth ant camel pelican robin canary badger pigeon cow bison coyote hamster rabbit starfish snake monkey scorpion okapi chimpanzee penguin cockroach termite hedgehog antelope platypus leopard hawk cat lobster cod elephant skunk crow gecko shark swan butterfly salmon wolf mongoose trout stingray bumblebee woodpecker parakeet toad eel yak panda tiger bee robin]
32,0.2,animals_twitter.csv,animals_twitter.csv,17,[jaguar weasel duck goldfish lion bonobo swan beaver giraffe scallop squirrel squid mongoose monkey rattlesnake horse bear goldfish]
31,0.1,animals_twitter.csv,animals_twitter.csv,57,[mouse stingray flea fox beaver antelope hamster whale monkey horse carp beetle raven panther eagle mink turtle bumblebee bison rattlesnake finch tarantula parrot emu poodle kangaroo owl gecko salmon gibbon stork centipede cockroach pelican wombat lemming python swan robin moose ant toad hyena cuttlefish lemur rhinoceros seal rat reindeer oyster fly trout scorpion goose elephant chicken camel finch]
33,0.3,animals_twitter.csv,animals_twitter.csv,42,[crow gorilla hedgehog dog python hawk beetle lobster shark flamingo flea scorpion poodle camel crab racoon nightingale bonobo spider lizard goose gazelle beaver skunk chipmunk woodpecker parrot monkey cuttlefish caiman dingo moose albatross baboon goldfish platypus sparrow alligator tiger turkey duck bison caiman]
34,0.1,animals_wikipedia.csv,animals_twitter.csv,12,[elephant peacock raven penguin goose dingo emu carp termite stingray hedgehog falcon goose]
35,0.2,animals_wikipedia.csv,animals_twitter.csv,8,[pony scallop lizard hyena snake gecko lemur chipmunk lemur]
36,0.3,animals_wikipedia.csv,animals_twitter.csv,25,[tiger elephant rhinoceros rat cockroach bonobo gorilla moth butterfly mammoth monkey camel giraffe chipmunk mouse wasp beetle dragonfly python rooster peacock squid carp nightingale swan moth]
37,0.1,animals_gigaword.csv,animals_wikipedia.csv,18,[scorpion salamander platypus cockroach panther tiger monkey badger toad gorilla bear scallop parakeet eagle pig emu ostrich giraffe ostrich]
38,0.2,animals_gigaword.csv,animals_wikipedia.csv,38,[salmon mink toad grasshopper skunk flamingo tarantula whale koala bee pony snake starfish cockroach otter pig bear elk reindeer rhinoceros antelope giraffe cuttlefish chameleon scorpion nymph ladybug piranha panther salamander spider platypus kangaroo monkey chimpanzee finch parrot rooster grasshopper]
39,0.3,animals_gigaword.csv,animals_wikipedia.csv,11,[frog wolf cat monkey gecko snake deer reindeer camel goose dog wolf]
40,0.1,animals_google.csv,animals_wikipedia.csv,85,[rooster okapi wombat walrus badger puma mongoose lemming emu salamander eagle eel dolphin gecko toad panda woodpecker horse elk baboon leopard python blackbird piranha caiman octopus squid ladybug finch hedgehog tortoise pigeon rattlesnake starfish cow ant jaguar giraffe swan reindeer cockroach lemur canary goat poodle bear tapir otter bison parrot chipmunk goldfish jellyfish swallow cat bumblebee sheep gazelle dove wasp centipede cuttlefish deer rabbit nightingale goose parakeet gorilla mole crocodile pig rat dog butterfly pelican moth frog mule chicken chameleon dingo hyena chimpanzee turtle oyster bison]
