[run number],threshold,person1,[step],words-said
1,0.1,animals_gigaword.csv,42,[mule zebra pelican swallow prawn boa camel yak rabbit barracuda duck shrimp wolf moose falcon owl turtle woodpecker pigeon parrot dragonfly snail centipede hare squirrel rat squid eel scallop otter goat poodle baboon ostrich tarantula dog hamster beetle goose rhinoceros giraffe toad dragonfly]
9,0.3,animals_twitter.csv,10,[octopus hawk camel donkey rooster penguin badger goat flea elephant badger]
6,0.3,animals_google.csv,4,[rat elephant chimpanzee hyena elephant]
5,0.2,animals_google.csv,30,[pigeon coyote butterfly snake crow rabbit parrot falcon sheep caterpillar ladybug gibbon bonobo dog duck chipmunk yak walrus shrimp fly tarantula jaguar flamingo nymph parakeet goat boa whale rooster mouse crow]
7,0.1,animals_twitter.csv,16,[alligator cockroach salmon stingray weasel skunk beaver cow rabbit beetle kiwi caterpillar ladybug poodle okapi pigeon beaver]
3,0.3,animals_gigaword.csv,15,[rabbit wolf mongoose gorilla panda giraffe goat mink sheep squirrel antelope cat chameleon bumblebee leopard chameleon]
14,0.2,animals_gigaword.csv,30,[ostrich antelope mammoth barracuda alligator poodle squirrel finch hawk moth scorpion gorilla bison turtle nymph badger parrot rabbit elk catfish owl starfish lobster mongoose donkey mouse salmon deer dog wolf owl]
4,0.1,animals_google.csv,32,[pony spider mule pigeon cow finch alligator lion leopard lizard barracuda seal whale hamster toad wombat chicken centipede ant ladybug rat snake stork coyote frog monkey jellyfish goldfish turtle sparrow hare horse ant]
2,0.2,animals_gigaword.csv,16,[termite beetle dingo spider bison crab rhinoceros octopus shark snail grasshopper blackbird eel stork squid lobster bison]
15,0.3,animals_gigaword.csv,15,[zebra tortoise frog snake tarantula flea rooster wombat squirrel salamander gorilla toad hyena lizard gecko squirrel]
8,0.2,animals_twitter.csv,33,[bison squirrel nymph pigeon rat goose bee zebra centipede cow alligator woodpecker blackbird pig fox seal eel flea snake koala flamingo buffalo rattlesnake weasel racoon jellyfish turtle otter starfish salmon rooster bonobo oyster jellyfish]
16,0.1,animals_google.csv,28,[stingray pig beetle ant bison peacock hedgehog mink bee tiger mouse rooster snake parrot hamster nymph chameleon shark buffalo salamander toad rattlesnake antelope caiman chicken trout cat octopus bison]
19,0.1,animals_twitter.csv,35,[antelope jellyfish dragonfly sheep baboon hedgehog dog squirrel rat moose tapir mole peacock weasel cod ant fox pony beaver chameleon horse swallow hyena dingo lobster deer bonobo goldfish starfish goat wombat pig squid penguin okapi hyena]
